#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Dioscorea alata	Purple Yam (Ube)	Domesticated Plant	Khouri et al. 2016
Dioscorea cayenensis	Guinea Yam	Domesticated Plant	Khouri et al. 2016
Dioscorea rotundata	West African Yam	Domesticated Plant	Khouri et al. 2016
Diospyros kaki	Persimmons	Domesticated Plant	Khouri et al. 2016
Echinochloa esculenta	Japanese millet	Domesticated Plant	Khouri et al. 2016
Echinochloa frumentacea	Barnyard millets	Domesticated Plant	Khouri et al. 2016
Echinochloa stagnina	Burgu millet	Domesticated Plant	Khouri et al. 2016
Elaeis guineensis	Palm oil	Domesticated Plant	Khouri et al. 2016
Elaeis oleifera	Palm oil	Domesticated Plant	Khouri et al. 2016
Elettaria cardamomum	Cardamom	Domesticated Plant	Khouri et al. 2016
Eragrostis tef	Teff	Domesticated Plant	Khouri et al. 2016
Fagopyrum esculentum	Buckwheat	Domesticated Plant	Khouri et al. 2016
Ficus carica	Figs	Domesticated Plant	Khouri et al. 2016
Foeniculum vulgare	Fennel	Domesticated Plant	Khouri et al. 2016
Fragaria x ananassa	Strawberries	Domesticated Plant	Khouri et al. 2016
Garcinia mangostana	Mangosteens	Domesticated Plant	Khouri et al. 2016
Glycine max	Soybean	Domesticated Plant	Khouri et al. 2016
Gossypium arboreum	Tree cotton	Domesticated Plant	Khouri et al. 2016
Gossypium barbadense	Creole cotton	Domesticated Plant	Khouri et al. 2016
Gossypium herbaceum	Levant cotton	Domesticated Plant	Khouri et al. 2016
Gossypium hirsutum	Upland cotton	Domesticated Plant	Khouri et al. 2016
Helianthus annuus	Sunflower	Domesticated Plant	Khouri et al. 2016
Hordeum vulgare	Barley	Domesticated Plant	Khouri et al. 2016
Humulus lupulus	Hops	Domesticated Plant	Khouri et al. 2016
Ilex paraguariensis	Mate	Domesticated Plant	Khouri et al. 2016
Illicium verum	Badia	Domesticated Plant	Khouri et al. 2016
Ipomoea batatas	Sweet potatoes	Domesticated Plant	Khouri et al. 2016
Juglans regia	Walnuts	Domesticated Plant	Khouri et al. 2016
Lactuca sativa	Lettuce	Domesticated Plant	Khouri et al. 2016
Lens culinaris	Lentils	Domesticated Plant	Khouri et al. 2016
Linum usitatissimum	Linseed	Domesticated Plant	Khouri et al. 2016
Lupinus	Lupins	Domesticated Plant	Khouri et al. 2016
Malus domestica	Apples	Domesticated Plant	Khouri et al. 2016
